feature,pearson_r,spearman_r
term_neighbor_min,-0.7015384031006381,-0.634630032608954
term_burial_min,-0.7015384031006378,-0.634630032608954
term_rama,-0.411253941583844,-0.5631548641323353
term_burial_mean,-0.6741891772170033,-0.5575251654431788
term_constraint,-0.506099633307087,-0.5160595186423685
term_electrostatics,-0.6320018011330513,-0.37787518201181397
term_vdw_repulsion,-0.38652952714933086,-0.28964461796237534
term_hbond,0.21790022344272197,-0.19646667776831298
term_neighbor_mean,-0.15809329260534635,-0.19416948469292686
term_pi_stacking,0.20748345731928214,0.18210429679937473
energy,0.25510695683239076,0.234496196752231
term_neighbor_max,0.47209581840995396,0.40297688565143097
term_sasa,0.6741891772170034,0.5575251654431788
term_disulfide,,
term_rotamer,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
