feature,pearson_r,spearman_r
energy,-0.5590921016741538,-0.4013940520309568
term_vdw_repulsion,-0.47520869370542346,-0.39941572055194274
term_neighbor_mean,0.0641956402027321,-0.06605721532205207
term_sasa,-0.13860634115802087,-0.060680465237698995
term_burial_mean,0.13860634115799675,0.060680465237698995
term_neighbor_min,0.21130594182984366,0.09140475143400228
term_burial_min,0.21130594182984172,0.09140475143400228
term_rama,-0.09943724863034398,0.13742553208327754
term_pi_stacking,0.18985243896535678,0.2902584913333601
term_neighbor_max,0.30760820425957824,0.32567743368081487
term_hbond,0.5445554310406246,0.6172733904593708
term_constraint,0.7674696725827547,0.6796267496111975
term_electrostatics,0.6007508044044492,0.7373828687112789
term_disulfide,,
term_rotamer,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
