feature,pearson_r,spearman_r
term_geom_pro_ring,-0.7792985243046217,-0.6063834811464903
term_geometry,-0.7792985243046217,-0.6063834811464903
term_sasa,-0.5276146130674869,-0.41389365497102126
term_electrostatics,-0.20498087069085133,-0.174565544588203
term_pi_stacking,-0.15166650807784815,-0.12406695159998361
term_rotamer,0.1664256874009968,-0.11238733763783625
term_constraint,0.32683673270245456,0.0527464892819656
term_vdw_repulsion,0.019475174701918098,0.07487240063641842
energy,0.11414840526720471,0.12775289768961218
term_neighbor_max,0.06935310322306674,0.14457310941740728
term_neighbor_mean,0.3833495053519557,0.32741804240489175
term_rama,0.49866794127672115,0.36184952064739295
term_burial_mean,0.5276146130674856,0.41389365497102126
term_hbond,0.7922974266628907,0.5494507241412988
term_hbond_raw,0.7922974266628906,0.5494507241412988
term_burial_min,0.7828230098202404,0.7193233461246908
term_neighbor_min,0.7828230098202412,0.7193233461246908
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
