feature,pearson_r,spearman_r
term_hbond_raw,-0.3435548333241984,-0.4208360659992857
term_hbond,-0.3435548333241989,-0.4208360659992857
term_sasa,-0.29731621104593153,-0.36948414032050586
term_rama,-0.06633945303184176,-0.1431086779222719
term_rotamer,0.07172616555261388,-0.12774444725163567
term_electrostatics,-0.03008171763889798,0.11875943705972046
term_pi_stacking,0.11540693509195869,0.1422868723565995
energy,0.18031860443051057,0.18271542485118475
term_constraint,0.4618697811100017,0.2663019825011631
term_neighbor_mean,0.245065595129427,0.31303584128560696
term_neighbor_max,0.2979248437701572,0.3156953120750216
term_burial_mean,0.2973162110459299,0.36948414032050586
term_vdw_repulsion,0.3690787415569407,0.4458309995576786
term_burial_min,0.5193173687784285,0.6348175529415936
term_neighbor_min,0.5193173687784285,0.6348175529415936
term_disulfide,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
