feature,pearson_r,spearman_r
term_rama,-0.33798101539205466,-0.47286755872608327
term_pi_stacking,-0.2867369681580515,-0.3157795962422531
term_sasa,-0.3838296539387396,-0.2134745057066635
term_electrostatics,0.04595944857233765,-0.13985207915480324
term_geometry,0.18759672136602318,0.017553309601765894
term_geom_pro_ring,0.18759672136602318,0.017553309601765894
energy,0.0920150692861035,0.07378123798468804
term_neighbor_mean,0.32615645406521737,0.1964474957530843
term_burial_mean,0.3838296539387402,0.2134745057066635
term_burial_min,0.3990792986805805,0.21380457374700074
term_neighbor_min,0.39907929868058073,0.21380457374700074
term_vdw_repulsion,0.3588487192191738,0.23807664805266746
term_neighbor_max,0.5744509462972909,0.4162893140197081
term_rotamer,0.6037908712093295,0.44300490769814355
term_constraint,0.6029236825258238,0.6167884005777202
term_hbond,,
term_hbond_raw,,
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
