feature,pearson_r,spearman_r
term_hbond_raw,-0.6607019349154504,-0.725127873582511
term_vdw_attractive,-0.6541971604678053,-0.6969965508356422
term_hbond,-0.5385762533221689,-0.6620330124049217
term_rama,-0.5896286165993184,-0.6123737393303527
energy,-0.5389462104348964,-0.4329589764837432
term_total,-0.5389462104348964,-0.4329589764837432
term_sasa,-0.5768748850839752,-0.41683729359664645
term_electrostatics,-0.15419093719655208,-0.18175553217125215
term_constraint,0.2654016361207123,0.21132041177134217
term_geometry,0.4205791255402962,0.2671568824421015
term_geom_pro_ring,0.4205791255402962,0.2671568824421015
term_rotamer,0.5456035029624798,0.3714564565042552
term_neighbor_max,0.41771147363746824,0.40296292873626993
term_burial_mean,0.5781988197033595,0.4244197130478617
term_neighbor_min,0.5760663365342866,0.48246141904796874
term_burial_min,0.5786923222837784,0.48262749176340286
term_neighbor_mean,0.5240245285248453,0.485389276401049
term_vdw_repulsion,0.46309822684314694,0.4935696204156683
term_pi_stacking,0.793941101045281,0.7684855281168383
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
