feature,pearson_r,spearman_r
term_vdw_attractive,-0.9016309761951807,-0.852855635848682
term_total,-0.8602769673833368,-0.8413925550484752
energy,-0.8602769673833368,-0.8413925550484752
term_rama,-0.8312524415610408,-0.788362883822951
term_hbond,-0.7981287559023335,-0.772128142024
term_hbond_raw,-0.798128755902333,-0.772128142024
term_sasa,-0.6691265264852799,-0.6087187930644247
term_geometry,-0.12403634432445018,-0.4529347755048425
term_geom_pro_ring,-0.12403634432445018,-0.4529347755048425
term_constraint,0.05931162455274744,0.0033069836419335604
term_rotamer,0.09530472291203934,0.12187994911518467
term_neighbor_max,0.3788485048476795,0.1720944409741686
term_neighbor_mean,0.4926538085243094,0.36267398141963714
term_burial_mean,0.6189970840040354,0.5449075227606855
term_neighbor_min,0.6428121343818551,0.5774491660522963
term_burial_min,0.6428121343818558,0.5774491660522963
term_vdw_repulsion,0.7160984007931781,0.701563726502597
term_pi_stacking,0.773608403224856,0.761942380291757
term_electrostatics,0.9030201342083315,0.8309560308752291
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
