feature,pearson_r,spearman_r
term_rama,-0.8241530023429587,-0.8401622975870803
term_total,-0.7615658931774307,-0.7826143208764433
energy,-0.7615658931774307,-0.7826143208764433
term_hbond_raw,-0.7561570767411,-0.7518997481389912
term_hbond,-0.7561570767411009,-0.7518997481389912
term_vdw_attractive,-0.7880587633434767,-0.7498344031953283
term_sasa,-0.5654889049445748,-0.6363845406323243
term_geometry,-0.13858607667139164,-0.1978800856653317
term_geom_pro_ring,-0.13858607667139164,-0.1978800856653317
term_constraint,0.0835089318635788,0.1080723718110306
term_rotamer,0.020314368502745143,0.17366387080356926
term_neighbor_max,0.36205986534390094,0.268778044021429
term_neighbor_mean,0.4287450239243132,0.4401902518499492
term_burial_mean,0.43047638017149525,0.570079435870178
term_neighbor_min,0.5718777238277661,0.6080774258373819
term_burial_min,0.571877723827766,0.6080774258373819
term_vdw_repulsion,0.6282849071436262,0.662678671366128
term_pi_stacking,0.6741484153594725,0.7021735068512197
term_electrostatics,0.6967656763598209,0.7090323612734756
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
