feature,pearson_r,spearman_r
term_sasa,-0.8878194112630269,-0.748501204438915
term_vdw_repulsion,-0.7009834546849522,-0.6245811003411667
term_rama,-0.5855067223554918,-0.6050687237686198
term_rotamer,0.09012267864909891,0.02218719733000165
term_constraint,-0.05821012398483058,0.1025760589534324
term_vdw_attractive,0.14739292702927115,0.12051409814440923
term_burial_min,-0.026970493875394668,0.14617311980036912
term_neighbor_min,-0.026970493875394817,0.14617311980036912
energy,0.06753626674780708,0.1619699315876647
term_hbond,0.8099987669649656,0.5894850425735716
term_hbond_raw,0.8099987669649658,0.5894850425735716
term_neighbor_max,0.9115200045411609,0.7370173100434924
term_burial_mean,0.8878194112630245,0.748501204438915
term_neighbor_mean,0.911904442602055,0.7672100008958154
term_electrostatics,0.618376981033668,0.8007746348153368
term_disulfide,,
term_pi_stacking,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
