feature,pearson_r,spearman_r
term_neighbor_max,-0.7721014452753128,-0.7720597568992762
term_vdw_repulsion,-0.6673734199056011,-0.7082917471933152
term_neighbor_mean,-0.7147158518337287,-0.681096408435474
term_electrostatics,-0.5757041167914545,-0.6213564399559603
term_rotamer,-0.8188458792739995,-0.6059324028744171
term_burial_mean,-0.5126758916173251,-0.4891730383948531
term_burial_min,-0.41419818829517907,-0.36255176324724725
term_neighbor_min,-0.41419818829517924,-0.36255176324724725
term_rama,-0.4325996798752892,-0.3104597507837831
term_geom_pro_ring,-0.21167119892487676,-0.1525962118778521
term_geometry,-0.21167119892487676,-0.1525962118778521
term_hbond_raw,-0.14518828854400104,-0.10477719573731811
term_hbond,-0.14518828854400076,-0.10477719573731811
term_constraint,0.08308525346772541,-0.007928872773334494
energy,-0.01321886593185135,0.01920403622906016
term_pi_stacking,0.3866330372167971,0.3427594460283562
term_sasa,0.5126758916173264,0.4891730383948531
term_vdw_attractive,0.6121744793598106,0.6013630937299269
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
