feature,pearson_r,spearman_r
term_neighbor_max,-0.6683785137008628,-0.6004224045810758
term_vdw_repulsion,-0.35980028046696416,-0.44691793753999826
term_burial_min,-0.30529941575892944,-0.42437599239283413
term_neighbor_min,-0.30529941575893893,-0.42437599239283413
term_neighbor_mean,-0.42687091710649405,-0.42375197815053034
term_pi_stacking,-0.3926152184661104,-0.3573204064129014
term_hbond,-0.14367010890042672,-0.27905165082703015
term_burial_mean,0.026746300954177765,-0.26996207393779076
term_rama,-0.06117746648303407,-0.14046352656483166
term_electrostatics,-0.08151423085826705,-0.13164195345943888
term_sasa,-0.026746300954169737,0.26996207393779076
energy,0.572506696972609,0.4869374097140982
term_constraint,0.9077065475795214,0.8631752076901649
term_disulfide,,
term_rotamer,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
