feature,pearson_r,spearman_r
term_hbond,-0.5943129641776554,-0.6778106738568426
term_neighbor_mean,-0.5441441851604496,-0.5742719368015732
term_neighbor_min,-0.508469695931462,-0.5481763965057946
term_burial_mean,-0.23978768411637882,-0.3670414295658299
term_burial_min,-0.28294436743456575,-0.36495402739984045
term_electrostatics,-0.3325714106374462,-0.3631359796621702
term_rama,-0.1491156561702496,-0.2940888156487863
term_neighbor_max,0.046860919160474704,0.06735578796049832
term_vdw_repulsion,0.09317713976399328,0.12051048688723622
term_constraint,0.14073966373549202,0.1319957424404386
energy,0.20381903027165246,0.21523747718777464
term_pi_stacking,0.17380136929944498,0.26306008214431137
term_sasa,0.23978768411636417,0.3670414295658299
term_disulfide,,
term_rotamer,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
