feature,pearson_r,spearman_r
term_sasa,-0.1343902604404285,-0.20778824970763682
term_rotamer,0.09999187768778028,-0.18708337127848448
term_electrostatics,-0.26962414004775376,-0.09684456159355877
term_rama,0.22338041418137197,0.045519220093930425
term_vdw_repulsion,-0.006288368098961704,0.11432507345336426
term_constraint,0.6141433386383356,0.14853706729062716
term_neighbor_max,0.08304895912812008,0.1506857744851453
term_neighbor_mean,0.04038040445070235,0.15156204648940041
energy,0.14543538398601039,0.17719740963881753
term_pi_stacking,0.09998447668425932,0.17763615443871356
term_burial_mean,0.1343902604404286,0.20778824970763682
term_hbond_raw,0.28432295841031985,0.25798356614972945
term_hbond,0.28432295841032024,0.25798356614972945
term_burial_min,0.3184643985661578,0.5920140175186185
term_neighbor_min,0.31846439856615777,0.5920140175186185
term_disulfide,,
term_geometry,,
term_geom_pro_ring,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
