feature,pearson_r,spearman_r
term_geometry,-0.7500383115201796,-0.5218303934088883
term_geom_pro_ring,-0.7500383115201796,-0.5218303934088883
term_sasa,-0.4067874482271075,-0.3206685959519946
term_vdw_attractive,-0.23522284093216247,-0.27216405201655997
term_rotamer,0.05760662082672191,-0.1805875377952105
term_electrostatics,-0.1768044324370956,-0.14981797874570255
term_pi_stacking,-0.14355522884091132,-0.09217726002717928
term_vdw_repulsion,0.038436729493590845,0.061564025146779125
term_constraint,0.2097533961867606,0.06359455302547173
term_neighbor_max,0.09488439517739618,0.1472757285230427
energy,0.1498296583386913,0.18495883840894806
term_rama,0.3506974810895653,0.2419608833669271
term_neighbor_mean,0.334774952200139,0.25318906842783717
term_burial_mean,0.40678744822710833,0.3206685959519946
term_hbond,0.6311262473692381,0.44621297227897716
term_hbond_raw,0.6311262473692381,0.44621297227897716
term_neighbor_min,0.5056074476891863,0.6617412066742308
term_burial_min,0.5056074476891862,0.6617412066742308
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
