feature,pearson_r,spearman_r
term_hbond_raw,-0.8463416865776684,-0.7608513548351696
term_hbond,-0.7990426803360284,-0.7283759077445444
term_vdw_attractive,-0.6362496798075965,-0.6585803655924694
term_total,-0.5925830811893421,-0.5233295188089292
energy,-0.5925830811893421,-0.5233295188089292
term_rama,-0.47275489586495234,-0.44965590954170626
term_electrostatics,-0.2045909182470363,-0.37863880343310313
term_sasa,-0.3567021293023627,-0.1662194066835853
term_constraint,0.07060591412476654,-0.02097654837333243
term_burial_mean,0.3614872095634326,0.18141893361690753
term_geom_pro_ring,0.38860550690314927,0.2193938019728337
term_geometry,0.38860550690314927,0.2193938019728337
term_neighbor_min,0.4131663649818428,0.26506535661625674
term_burial_min,0.4217729101254478,0.26644357465206947
term_neighbor_mean,0.2899845330992181,0.26987575556875204
term_vdw_repulsion,0.3757156856680978,0.3723955739003278
term_rotamer,0.4792287878762541,0.41917802139724153
term_neighbor_max,0.40364201172346825,0.5302648371211878
term_pi_stacking,0.7115818749161867,0.7933112169203856
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
