feature,mean_native_like,mean_non_native,delta_native_minus_non
term_constraint,,8.214409913285069,
term_sasa,,51.30054694208975,
term_hbond,,-168.24055613825888,
term_hbond_raw,,-224.3207415176785,
term_electrostatics,,43.57443419927447,
term_disulfide,,0.0,
term_vdw_repulsion,,188.3499469003185,
term_vdw_attractive,,-19.82814785066458,
term_rotamer,,-15.406842879629385,
term_pi_stacking,,0.0,
term_rama,,-14.182399834115913,
term_geometry,,0.0,
term_geom_pro_ring,,0.0,
term_geom_chirality,,0.0,
term_geom_planarity,,0.0,
term_burial_mean,,0.966305059479744,
term_burial_min,,0.7440975087142087,
term_burial_max,,1.0,
term_neighbor_mean,,42.612422422456895,
term_neighbor_min,,26.043412804997303,
term_neighbor_max,,63.4376422922201,
energy,,73.78139125229906,
