feature,pearson_r,spearman_r
term_electrostatics,-0.1826174337036601,-0.5003778539144923
term_hbond_raw,-0.36050534238410226,-0.4929391166413212
term_hbond,-0.36050534238410264,-0.4929391166413212
term_geom_pro_ring,-0.11546038382700029,-0.4738805348605377
term_geometry,-0.11546038382700029,-0.4738805348605377
term_rotamer,-0.473877510547093,-0.4615024997347913
term_constraint,-0.5167072258229001,-0.39146124088095874
term_neighbor_min,0.060269125699818175,-0.16101280956239059
term_burial_min,0.060269125699818654,-0.16101280956239059
term_neighbor_mean,0.011222066842923071,-0.11636694277081215
term_sasa,-0.11143379957159848,-0.06342523909137905
energy,-0.13110371739061547,-0.015852669795666706
term_burial_mean,0.11143379957159999,0.06342523909137905
term_pi_stacking,-0.01083857170276239,0.06384595744334862
term_neighbor_max,0.12006452116915711,0.08254845693820567
term_rama,0.2516666923442257,0.1475823798906873
term_vdw_attractive,0.015121000775397336,0.14956663986278315
term_vdw_repulsion,0.29924005310693785,0.25323013340659567
term_disulfide,,
term_geom_chirality,,
term_geom_planarity,,
term_burial_max,,
